股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH601015,陕西黑猫,10.89,+0.99,10%,161.85%,206209492,2175086119.78,12.65%,20.553,0.459%,17748407361
SH603259,药明康德,174.35,-1.58,-0.9%,29.42%,11894346,2084625995.46,0.56%,102.783,0.208%,427267967986
SH601888,中国中免,325.84,+0.54,0.17%,15.36%,6251916,2049074942.34,0.32%,70.605,0.307%,636194631257
SH600703,三安光电,27.4,+0.1,0.37%,1.44%,73009770,2006939898.42,1.79%,103.897,0.547%,122733951839
SH600030,中信证券,25.18,-0.02,-0.08%,-14.35%,78228892,1985269578.49,0.8%,20.354,1.589%,325496220410
SH603986,兆易创新,138,-0.33,-0.24%,-1.86%,14243200,1945049602.81,2.32%,90.381,0.29%,91653400074
SH600006,东风汽车,7.73,-0.18,-2.28%,-18.11%,237122601,1912594122.01,11.86%,18.097,1.075%,15460000000
SH600887,伊利股份,39.5,+0.04,0.1%,-10.98%,48009459,1904844910.51,0.81%,27.409,2.076%,240263680904
SH603919,金徽酒,48.99,-1.15,-2.29%,21.66%,36358836,1829328269.29,7.4%,63.918,0.49%,24850667253
SH600460,士兰微,37.59,-0.69,-1.8%,50.36%,47715133,1815453454.21,3.64%,206.288,0.043%,49320396070
SH603025,大豪科技,42,+0.7,1.69%,54.02%,42525243,1804559182.91,4.61%,152.037,0.524%,38896271862
SH600827,百联股份,24.06,+1.46,6.46%,64.79%,71980174,1744046310.25,4.49%,40.862,0.623%,42927084895
SH600346,恒力石化,27.8,-1.91,-6.43%,2.12%,61065523,1743223420.24,0.87%,12.683,2.77%,195686974051
SH603501,韦尔股份,286.49,-11.51,-3.86%,23.97%,5629789,1628934799.62,0.72%,75.325,0.11%,248711225205
SH600895,张江高科,20.89,+1.9,10.01%,22.59%,78415006,1607301923.84,5.06%,15.651,1.723%,32352124700
SH600009,上海机场,52.18,+2.14,4.28%,-31.03%,30247623,1556596764.87,2.77%,,0,100548691817
SH603659,璞泰来,110,+8.32,8.18%,37.52%,13356709,1449063941.24,2.15%,84.005,0.266%,76388368100
SH600197,伊力特,30.86,+0.8,2.66%,9.2%,46297414,1430042198.76,9.86%,31.158,1.312%,14488872733
SH601005,重庆钢铁,2.94,+0.12,4.26%,98.65%,486693957,1415447666.62,5.81%,15.185,0,26220690665
SH600660,福耀玻璃,50.63,+0.4,0.8%,5.37%,27600385,1409319662.42,1.38%,44.101,1.424%,132131315025
SH600711,盛屯矿业,8.42,+0.04,0.48%,-8.08%,165978765,1408818501.78,6.76%,44.564,0.119%,22523501406
SH600018,上港集团,5.19,+0.46,9.73%,13.57%,275956049,1405003119.38,1.19%,12.536,2.466%,120271371434
SH600199,金种子酒,17.32,+0.16,0.93%,-10.77%,79594579,1396749957.34,13.12%,242.561,0,11393040992
SH600426,华鲁恒升,32.82,-0.6,-1.8%,15.33%,42569674,1389122413.33,2.02%,23.568,0.703%,69403064894
SH600238,海南椰岛,21.77,+1.98,10.01%,149.66%,65773261,1367258452.61,14.78%,182.179,0,9757314000
SH603589,口子窖,67.64,+1.11,1.67%,-1.83%,19830196,1348889962.88,3.31%,27.939,1.774%,40584000000
SH605339,南侨食品,62.8,-6.98,-10%,269.85%,18758788,1337662723.16,29.53%,70.016,,26597647074
SH600121,郑州煤电,6.62,+0.6,9.97%,-28.97%,200813990,1312588074.14,16.48%,,0,8065887692
SH600095,湘财股份,12.23,-0.57,-4.45%,-15.72%,103824513,1298413226.02,22.2%,89.988,0.61%,32800741296
SH601988,中国银行,3.35,-0.01,-0.3%,5.35%,382083063,1284586727.43,0.18%,5.076,5.881%,986199100657
SH600307,酒钢宏兴,2.61,+0.24,10.13%,58.18%,494778642,1252903670.3,7.9%,12.843,0,16347362877
SH603026,石大胜华,111.22,+10.11,10%,120.63%,11520902,1251960093.65,5.68%,44.248,0.539%,22542069600
SH600549,厦门钨业,20.81,+0.65,3.22%,24.43%,59278031,1240917173.38,4.22%,34.727,0.721%,29519322122
SH601699,潞安环能,12.1,-0.03,-0.25%,86.15%,99522041,1228302310.11,3.33%,12.85,1.603%,36196051320
SH600546,山煤国际,7.47,-0.07,-0.93%,-12.22%,160185681,1228044183.05,8.08%,15.746,0.884%,14808947366
SH600918,中泰证券,10.2,-0.86,-7.78%,-44.86%,115324339,1224282112.87,4.42%,29.128,1.069%,71079982711
SH600085,同仁堂,39.77,-0.58,-1.44%,66.4%,28908449,1160126875.58,2.11%,49.099,0.679%,54543372320
SH603198,迎驾贡酒,45.37,+1.23,2.79%,30%,25411831,1158431684.82,3.18%,33.312,1.543%,36296000000
SH603993,洛阳钼业,5.71,+0.02,0.35%,-8.64%,201179419,1156484460.02,1.14%,42.703,0.578%,123331663729
SH601633,长城汽车,37.61,-0.59,-1.54%,0.45%,29645635,1139992041.04,0.49%,45.214,0.743%,345980429000
SH600621,华鑫股份,16.47,+0.86,5.51%,-27.67%,68093980,1136532481.11,6.42%,25.343,0.856%,17473011339
SH600189,泉阳泉,13.96,+1.27,10.01%,-4.97%,83439324,1135265901.63,12.12%,80.611,0,9984161456
SH600109,国金证券,13.02,+0.24,1.88%,-19.98%,85332024,1125902974.59,2.82%,21.136,0.538%,39377158216
SH601233,桐昆股份,21.81,-0.86,-3.79%,5.93%,50198776,1122459172.66,2.19%,12.065,0.596%,49891051917
SH600316,洪都航空,37.35,-1.56,-4.01%,-34.32%,29322265,1119532447.09,4.09%,150.197,0.153%,26784227023
SH600171,上海贝岭,18.32,+1.35,7.96%,30.67%,59942405,1084941450.77,8.57%,20.91,0.701%,13058776552
SH600763,通策医疗,370.3,+6.4,1.76%,33.91%,2928982,1084557648.71,0.91%,175.61,0,118732992000
SH600172,黄河旋风,5.74,-0.64,-10.03%,75%,183090193,1075868738.86,14.96%,,0,8278138892
SH600143,金发科技,21.74,0,0%,30.39%,48950503,1073557258.37,1.9%,10.738,2.76%,55950549737
SH600221,*ST海航,2.41,+0.01,0.42%,58.55%,443145298,1068982801.87,2.7%,,0,40502749995
SH603185,上机数控,149.88,-12.33,-7.6%,8.26%,6892681,1057519706.78,8.71%,52.67,0.387%,41255029652
SH601088,中国神华,20.45,+0.29,1.44%,13.55%,50595699,1036831627.52,0.31%,9.916,8.851%,406311233080
SH600570,恒生电子,87.76,-1.42,-1.59%,-16.34%,11383698,1008254618.61,1.09%,59.683,0.114%,91629404571
SH601398,工商银行,5.15,-0.04,-0.77%,3.21%,193708944,1001184001.57,0.07%,5.788,5.165%,1835492224008
SH601901,方正证券,9.6,-0.09,-0.93%,-7.43%,103083981,1001085608.33,1.25%,49.203,0.104%,79028173392
SH600584,长电科技,34.44,-0.49,-1.4%,-19.1%,28650099,996731301.22,2.11%,39.367,0.145%,61287805320
SH600536,中国软件,53.57,-3.6,-6.3%,-31.94%,17847819,986813919.39,3.61%,366.782,0.078%,26493728232
SH600059,古越龙山,14.62,-0.14,-0.95%,-14.05%,65405530,971881425.69,8.09%,80.513,0.342%,13326750078
SH603369,今世缘,59.61,+0.49,0.83%,3.89%,15662221,942477074.04,1.25%,41.731,0.755%,74780745000
SH600418,江淮汽车,9.75,-0.26,-2.6%,-20.28%,94844543,933674467.44,5.01%,26.844,0.236%,18459793141
SH601066,中信建投,32.77,+0.12,0.37%,-21.98%,28094457,930052079.54,2.14%,27.389,1.144%,254186888498
SH601567,三星医疗,18.1,+0.82,4.75%,172.18%,52012358,929556311.93,3.75%,27.323,1.934%,25096899859
SH600760,中航沈飞,71.99,-1.06,-1.45%,-7.92%,12763856,927603032.91,0.91%,82.141,0.333%,100814024627
SH603650,彤程新材,43.1,-2.24,-4.94%,39.03%,21292768,919220095.41,16.2%,51.297,0.789%,25256061250
SH600753,东方银星,49.49,+4.5,10%,166.94%,19424867,918953017.53,10.84%,434.014,0,8868608000
SH600028,中国石化,4.52,+0.03,0.67%,12.16%,197273342,893446646.02,0.21%,7.738,4.425%,547241867600
SH601288,农业银行,3.29,0,0%,4.78%,267426255,881657464.74,0.09%,5.292,5.626%,1151444181442
SH601636,旗滨集团,17.91,+0.42,2.4%,39.92%,48623105,873838307.14,1.81%,18.904,1.954%,48110145395
SH600588,用友网络,33.03,-0.67,-1.99%,-24.23%,25997613,867864107.16,0.8%,89.024,0.606%,108025653794
SH605305,中际联合,58.41,+5.31,10%,53.95%,15049055,864191059.51,54.72%,30.265,0.663%,6425100000
SH603444,吉比特,544.2,+19.81,3.78%,27.75%,1587077,863598973.77,2.21%,35.898,2.205%,39108689198
SH600884,杉杉股份,17.51,0,0%,-2.88%,48756223,862602660.31,2.99%,54.396,0.514%,28506441600
